|Grain|Grain Mill Products|Farm Products (excl. Grain)|Food Products|Chemicals|Petroleum & Petroleum Products|Primary Metal Products|Primary Forest Products|Lumber & Wood Products|Pulp & Paper Products|Non-Metallic Minerals (incl. Phosphates)|Crushed Stone, Sand & Gravel|Stone, Clay & Glass Products|Iron & Steel Scrap|Waste & Nonferrous Scrap|Motor Vehicles and Parts|Metallic Ores|Coal|Coke|All Other Carloads|Total Carloads|Trailers|Containers|Total Intermodal|Total Traffic|Non‐Metallic Minerals (incl. Phosphates)|Primary Forest Products*|Farm Products, Ex. Grain|Food & Kindred Products|Petroleum Products|Metals & Products|Pulp, Paper & Allied Products|Phosphate (Phospate Rock)|Automotive (Motor Vehicles & Equip.)|Military, Machinery & Transportation Equipment
Week 44 pct-change|7.6|8.0|||5.1|||6.6|14.2|||5.3|7.4|12.0|4.3||6.1|6.0|2.8||2.4|20.6|9.7|10.2|5.5|||1.9|5.0|76.8|5.2|1.0|11.6|2.0|13.7
Week 44 2014 QTD|18982.0|10852.0|||54826.0|||3763.0|6460.0|||25539.0|12778.0|8116.0|13419.0||7432.0|113137.0|6125.0||421213.0|13156.0|265036.0|278192.0|699405.0|||1428.0|11135.0|21936.0|17729.0|16308.0|19228.0|44745.0|7275.0
Week 44 2013 QTD|19961.0|11005.0|||55360.0|||3666.0|5726.0|||22796.0|12616.0|8214.0|14165.0||7522.0|101987.0|6229.0||396746.0|12573.0|252384.0|264957.0|661703.0|||1446.0|11531.0|13177.0|15682.0|16238.0|18114.0|44988.0|6323.0
Week 44 QTD pct-change|4.9|1.4|||1.0|||2.6|12.8|||12.0|1.3|1.2|5.3||1.2|10.9|1.7||6.2|4.6|5.0|5.0|5.7|||1.2|3.4|66.5|13.1|0.4|6.1|0.5|15.1
Week 44 2014 YTD|142072.0|96348.0|||493242.0|||31004.0|52643.0|||188678.0|106880.0|73586.0|101523.0||51558.0|980359.0|51508.0||3552213.0|113615.0|2189136.0|2302751.0|5854964.0|||12115.0|97914.0|176341.0|154318.0|144505.0|171690.0|366820.0|59109.0
Week 44 2013 YTD|124395.0|90576.0|||480515.0|||30487.0|49664.0|||176456.0|104662.0|72362.0|103555.0||45813.0|934719.0|59318.0||3357925.0|113429.0|2061846.0|2175275.0|5533200.0|||13940.0|99692.0|105127.0|140595.0|143151.0|167613.0|365531.0|49754.0
Week 44 YTD pct-change|14.2|6.4|||2.6|||1.7|6.0|||6.9|2.1|1.7|2.0||12.5|4.9|13.2||5.8|0.2|6.2|5.9|5.8|||13.1|1.8|67.7|9.8|0.9|2.4|0.4|18.8
Week 43 2014|3901.0|2122.0|||11422.0|||827.0|1289.0|||5327.0|2628.0|1581.0|2686.0||1319.0|23772.0|1197.0||86066.0|2685.0|53906.0|56591.0|142657.0|||295.0|2173.0|4241.0|3463.0|3118.0|3527.0|9227.0|1951.0
Week 43 2013|4345.0|2237.0|||11146.0|||760.0|1207.0|||4510.0|2499.0|1795.0|2646.0||1510.0|20708.0|1186.0||81642.0|2429.0|50131.0|52560.0|134202.0|||336.0|2289.0|3053.0|3227.0|3399.0|3820.0|9394.0|1575.0
Week 43 pct-change|10.2|5.1|||2.5|||8.8|6.8|||18.1|5.2|11.9|1.5||12.6|14.8|0.9||5.4|10.5|7.5|7.7|6.3|||12.2|5.1|38.9|7.3|8.3|7.7|1.8|23.9
Week 43 2014 QTD|14831.0|8750.0|||44513.0|||2943.0|5222.0|||20722.0|10261.0|6480.0|10673.0||6045.0|91209.0|4988.0||339350.0|10239.0|209383.0|219622.0|558972.0|||1102.0|9046.0|17280.0|14576.0|13262.0|15590.0|35907.0|5950.0
Week 43 2013 QTD|15469.0|8720.0|||44496.0|||2897.0|4642.0|||18223.0|9899.0|6753.0|11295.0||6045.0|81304.0|5059.0||316771.0|10155.0|201646.0|211801.0|528572.0|||1126.0|9331.0|10544.0|12685.0|13161.0|13998.0|35966.0|5158.0
Week 43 QTD pct-change|4.1|0.3|||0.0|||1.6|12.5|||13.7|3.7|4.0|5.5||0.0|12.2|1.4||7.1|0.8|3.8|3.7|5.8|||2.1|3.1|63.9|14.9|0.8|11.4|0.2|15.4
Week 43 2014 YTD|137921.0|94246.0|||482929.0|||30184.0|51405.0|||183861.0|104363.0|71950.0|98777.0||50171.0|958431.0|50371.0||3470350.0|110698.0|2133483.0|2244181.0|5714531.0|||11789.0|95825.0|171685.0|151165.0|141459.0|168052.0|357982.0|57784.0
Week 43 2013 YTD|119903.0|88291.0|||469651.0|||29718.0|48580.0|||171883.0|101945.0|70901.0|100685.0||44336.0|914036.0|58148.0||3277950.0|111011.0|2011108.0|2122119.0|5400069.0|||13620.0|97492.0|102494.0|137598.0|140074.0|163497.0|356509.0|48589.0
Week 43 YTD pct-change|15.0|6.7|||2.8|||1.6|5.8|||7.0|2.4|1.5|1.9||13.2|4.9|13.4||5.9|0.3|6.1|5.8|5.8|||13.4|1.7|67.5|9.9|1.0|2.8|0.4|18.9
Week 42 2014|3228.0|2257.0|||11185.0|||706.0|1274.0|||5208.0|2560.0|1589.0|2685.0||1632.0|21697.0|1196.0||82606.0|2513.0|54392.0|56905.0|139511.0|||257.0|2372.0|4119.0|3717.0|3354.0|4008.0|8169.0|1393.0
Week 42 2013|4247.0|2067.0|||11244.0|||692.0|1093.0|||4651.0|2430.0|1763.0|3175.0||1626.0|18942.0|1089.0||77555.0|2525.0|49587.0|52112.0|129667.0|||259.0|2407.0|2930.0|3110.0|3237.0|3098.0|8313.0|1182.0
Week 42 pct-change|24.0|9.2|||0.5|||2.0|16.6|||12.0|5.3|9.9|15.4||0.4|14.5|9.8||6.5|0.5|9.7|9.2|7.6|||0.8|1.5|40.6|19.5|3.6|29.4|1.7|17.9
Week 42 2014 QTD|10930.0|6628.0|||33091.0|||2116.0|3933.0|||15395.0|7633.0|4899.0|7987.0||4726.0|67437.0|3791.0||253284.0|7554.0|155477.0|163031.0|416315.0|||807.0|6873.0|13039.0|11113.0|10144.0|12063.0|26680.0|3999.0
Week 42 2013 QTD|11124.0|6483.0|||33350.0|||2137.0|3435.0|||13713.0|7400.0|4958.0|8649.0||4535.0|60596.0|3873.0||235129.0|7726.0|151515.0|159241.0|394370.0|||790.0|7042.0|7491.0|9458.0|9762.0|10178.0|26572.0|3583.0
Week 42 QTD pct-change|1.7|2.2|||0.8|||1.0|14.5|||12.3|3.1|1.2|7.7||4.2|11.3|2.1||7.7|2.2|2.6|2.4|5.6|||2.2|2.4|74.1|17.5|3.9|18.5|0.4|11.6
Week 42 2014 YTD|134020.0|92124.0|||471507.0|||29357.0|50116.0|||178534.0|101735.0|70369.0|96091.0||48852.0|934659.0|49174.0||3384284.0|108013.0|2079577.0|2187590.0|5571874.0|||11494.0|93652.0|167444.0|147702.0|138341.0|164525.0|348755.0|55833.0
Week 42 2013 YTD|115558.0|86054.0|||458505.0|||28958.0|47373.0|||167373.0|99446.0|69106.0|98039.0||42826.0|893328.0|56962.0||3196308.0|108582.0|1960977.0|2069559.0|5265867.0|||13284.0|95203.0|99441.0|134371.0|136675.0|159677.0|347115.0|47014.0
Week 42 YTD pct-change|16.0|7.1|||2.8|||1.4|5.8|||6.7|2.3|1.8|2.0||14.1|4.6|13.7||5.9|0.5|6.0|5.7|5.8|||13.5|1.6|68.4|9.9|1.2|3.0|0.5|18.8
Week 41 2014|3613.0|2133.0|||10993.0|||735.0|1385.0|||5194.0|2555.0|1584.0|2527.0||1538.0|23657.0|1350.0||86700.0|2540.0|48836.0|51376.0|138076.0|||274.0|2321.0|4883.0|3645.0|3230.0|4362.0|9389.0|1332.0
Week 41 2013|3266.0|2366.0|||11119.0|||727.0|1151.0|||4670.0|2298.0|1653.0|2786.0||1504.0|20221.0|1530.0||77379.0|2575.0|50012.0|52587.0|129966.0|||271.0|2356.0|2290.0|3149.0|3226.0|2906.0|8606.0|1284.0
Week 41 pct-change|10.6|9.8|||1.1|||1.1|20.3|||11.2|11.2|4.2|9.3||2.3|17.0|11.8||12.0|1.4|2.4|2.3|6.2|||1.1|1.5|113.2|15.8|0.1|50.1|9.1|3.7
Week 41 2014 QTD|7702.0|4371.0|||21906.0|||1410.0|2659.0|||10187.0|5073.0|3310.0|5302.0||3094.0|45740.0|2595.0||170678.0|5041.0|101085.0|106126.0|276804.0|||550.0|4501.0|8920.0|7396.0|6790.0|8055.0|18511.0|2606.0
Week 41 2013 QTD|6877.0|4416.0|||22106.0|||1445.0|2342.0|||9062.0|4970.0|3195.0|5474.0||2909.0|41654.0|2784.0||157574.0|5201.0|101928.0|107129.0|264703.0|||531.0|4635.0|4561.0|6348.0|6525.0|7080.0|18259.0|2401.0
Week 41 QTD pct-change|12.0|1.0|||0.9|||2.4|13.5|||12.4|2.1|3.6|3.1||6.4|9.8|6.8||8.3|3.1|0.8|0.9|4.6|||3.6|2.9|95.6|16.5|4.1|13.8|1.4|8.5
Week 41 2014 YTD|130792.0|89867.0|||460322.0|||28651.0|48842.0|||173326.0|99175.0|68780.0|93406.0||47220.0|912962.0|47978.0||3301678.0|105500.0|2025185.0|2130685.0|5432363.0|||11237.0|91280.0|163325.0|143985.0|134987.0|160517.0|340586.0|54440.0
Week 41 2013 YTD|111311.0|83987.0|||447261.0|||28266.0|46280.0|||162722.0|97016.0|67343.0|94864.0||41200.0|874386.0|55873.0||3118753.0|106057.0|1911390.0|2017447.0|5136200.0|||13025.0|92796.0|96511.0|131261.0|133438.0|156579.0|338802.0|45832.0
Week 41 YTD pct-change|17.5|7.0|||2.9|||1.4|5.5|||6.5|2.2|2.1|1.5||14.6|4.4|14.1||5.9|0.5|6.0|5.6|5.8|||13.7|1.6|69.2|9.7|1.2|2.5|0.5|18.8
Week 40 2014|4089.0|2238.0|||10913.0|||675.0|1274.0|||4993.0|2518.0|1726.0|2775.0||1556.0|22083.0|1245.0||83978.0|2501.0|52249.0|54750.0|138728.0|||276.0|2180.0|4037.0|3751.0|3560.0|3693.0|9122.0|1274.0
Week 40 2013|3611.0|2050.0|||10987.0|||718.0|1191.0|||4392.0|2672.0|1542.0|2688.0||1405.0|21433.0|1254.0||80195.0|2626.0|51916.0|54542.0|134737.0|||260.0|2279.0|2271.0|3199.0|3299.0|4174.0|9653.0|1117.0
Week 40 pct-change|13.2|9.2|||0.7|||6.0|7.0|||13.7|5.8|11.9|3.2||10.7|3.0|0.7||4.7|4.8|0.6|0.4|3.0|||6.2|4.3|77.8|17.3|7.9|11.5|5.5|14.1
Week 40 2014 QTD|4089.0|2238.0|||10913.0|||675.0|1274.0|||4993.0|2518.0|1726.0|2775.0||1556.0|22083.0|1245.0||83978.0|2501.0|52249.0|54750.0|138728.0|||276.0|2180.0|4037.0|3751.0|3560.0|3693.0|9122.0|1274.0
Week 40 2013 QTD|3611.0|2050.0|||10987.0|||718.0|1191.0|||4392.0|2672.0|1542.0|2688.0||1405.0|21433.0|1254.0||80195.0|2626.0|51916.0|54542.0|134737.0|||260.0|2279.0|2271.0|3199.0|3299.0|4174.0|9653.0|1117.0
Week 40 QTD pct-change|13.2|9.2|||0.7|||6.0|7.0|||13.7|5.8|11.9|3.2||10.7|3.0|0.7||4.7|4.8|0.6|0.4|3.0|||6.2|4.3|77.8|17.3|7.9|11.5|5.5|14.1
Week 40 2014 YTD|127179.0|87734.0|||449329.0|||27916.0|47457.0|||168132.0|96620.0|67196.0|90879.0||45682.0|889305.0|46628.0||3214978.0|102960.0|1976349.0|2079309.0|5294287.0|||10963.0|88959.0|158442.0|140340.0|131757.0|156155.0|331197.0|53108.0
Week 40 2013 YTD|108045.0|81621.0|||436142.0|||27539.0|45129.0|||158052.0|94718.0|65690.0|92078.0||39696.0|854165.0|54343.0||3041374.0|103482.0|1861378.0|1964860.0|5006234.0|||12754.0|90440.0|94221.0|128112.0|130212.0|153673.0|330196.0|44548.0
Week 40 YTD pct-change|17.7|7.5|||3.0|||1.4|5.2|||6.4|2.0|2.3|1.3||15.1|4.1|14.2||5.7|0.5|6.2|5.8|5.8|||14.0|1.6|68.2|9.5|1.2|1.6|0.3|19.2
Week 39 2014|2800.0|2160.0|||10922.0|||849.0|1156.0|||5204.0|2633.0|1670.0|2514.0||1280.0|23170.0|1404.0||83473.0|2699.0|52953.0|55652.0|139125.0|||265.0|2178.0|3911.0|3956.0|3503.0|3529.0|8903.0|1466.0
Week 39 2013|2635.0|2108.0|||11638.0|||804.0|1254.0|||5276.0|2799.0|1739.0|2888.0||1275.0|22849.0|1405.0||83918.0|2803.0|51653.0|54456.0|138374.0|||238.0|2545.0|2586.0|3790.0|3435.0|4173.0|9221.0|1260.0
Week 39 pct-change|6.3|2.5|||6.2|||5.6|7.8|||1.4|5.9|4.0|13.0||0.4|1.4|0.1||0.5|3.7|2.5|2.2|0.5|||11.3|14.4|51.2|4.4|2.0|15.4|3.4|16.3
Week 39 2014 QTD|35787.0|27808.0|||146075.0|||9257.0|15779.0|||63815.0|33814.0|20309.0|33379.0||18597.0|288498.0|16373.0||1066929.0|32308.0|657168.0|689476.0|1756405.0|||3163.0|28450.0|54711.0|47851.0|43258.0|51416.0|109178.0|19411.0
Week 39 2013 QTD|30436.0|26208.0|||138207.0|||9161.0|14496.0|||55294.0|33135.0|21489.0|35469.0||14329.0|273187.0|17662.0||986876.0|33756.0|622329.0|656085.0|1642961.0|||3346.0|29448.0|31048.0|42182.0|44085.0|50416.0|101600.0|15678.0
Week 39 QTD pct-change|17.6|6.1|||5.7|||1.0|8.9|||15.4|2.0|5.5|5.9||29.8|5.6|7.3||8.1|4.3|5.6|5.1|6.9|||5.5|3.4|76.2|13.4|1.9|2.0|7.5|23.8
Week 39 2014 YTD|123090.0|85496.0|||438416.0|||27241.0|46183.0|||163139.0|94102.0|65470.0|88104.0||44126.0|867222.0|45383.0||3131000.0|100459.0|1924100.0|2024559.0|5155559.0|||10687.0|86779.0|154405.0|136589.0|128197.0|152462.0|322075.0|51834.0
Week 39 2013 YTD|104434.0|79571.0|||425155.0|||26821.0|43938.0|||153660.0|92046.0|64148.0|89390.0||38291.0|832732.0|53089.0||2961179.0|100856.0|1809462.0|1910318.0|4871497.0|||12494.0|88161.0|91950.0|124913.0|126913.0|149499.0|320543.0|43431.0
Week 39 YTD pct-change|17.9|7.4|||3.1|||1.6|5.1|||6.2|2.2|2.1|1.4||15.2|4.1|14.5||5.7|0.4|6.3|6.0|5.8|||14.5|1.6|67.9|9.3|1.0|2.0|0.5|19.3
Week 38 2014|2026.0|2063.0|||11131.0|||660.0|1199.0|||5177.0|2609.0|1771.0|2856.0||1859.0|23439.0|1394.0||85023.0|2694.0|52467.0|55161.0|140184.0|||250.0|2303.0|3828.0|3824.0|3303.0|4003.0|9815.0|1513.0
Week 38 2013|2812.0|2091.0|||10195.0|||793.0|1223.0|||4494.0|2561.0|1888.0|2915.0||1035.0|21454.0|1416.0||78745.0|2666.0|51122.0|53788.0|132533.0|||279.0|2313.0|2638.0|3122.0|3308.0|3784.0|9373.0|1051.0
Week 38 pct-change|28.0|1.3|||9.2|||16.8|2.0|||15.2|1.9|6.2|2.0||79.6|9.3|1.6||8.0|1.1|2.6|2.6|5.8|||10.4|0.4|45.1|22.5|0.2|5.8|4.7|44.0
Week 38 2014 QTD|32987.0|25648.0|||135153.0|||8408.0|14623.0|||58611.0|31181.0|18639.0|30865.0||17317.0|265328.0|14969.0||983456.0|29609.0|604215.0|633824.0|1617280.0|||2898.0|26272.0|50800.0|43895.0|39755.0|47887.0|100275.0|17945.0
Week 38 2013 QTD|27801.0|24100.0|||126569.0|||8357.0|13242.0|||50018.0|30336.0|19750.0|32581.0||13054.0|250338.0|16257.0||902958.0|30953.0|570676.0|601629.0|1504587.0|||3108.0|26903.0|28462.0|38392.0|40650.0|46243.0|92379.0|14418.0
Week 38 QTD pct-change|18.7|6.4|||6.8|||0.6|10.4|||17.2|2.8|5.6|5.3||32.7|6.0|7.9||8.9|4.3|5.9|5.4|7.5|||6.8|2.3|78.5|14.3|2.2|3.6|8.5|24.5
Week 38 2014 YTD|120290.0|83336.0|||427494.0|||26392.0|45027.0|||157935.0|91469.0|63800.0|85590.0||42846.0|844052.0|43979.0||3047527.0|97760.0|1871147.0|1968907.0|5016434.0|||10422.0|84601.0|150494.0|132633.0|124694.0|148933.0|313172.0|50368.0
Week 38 2013 YTD|101799.0|77463.0|||413517.0|||26017.0|42684.0|||148384.0|89247.0|62409.0|86502.0||37016.0|809883.0|51684.0||2877261.0|98053.0|1757809.0|1855862.0|4733123.0|||12256.0|85616.0|89364.0|121123.0|123478.0|145326.0|311322.0|42171.0
Week 38 YTD pct-change|18.2|7.6|||3.4|||1.4|5.5|||6.4|2.5|2.2|1.1||15.7|4.2|14.9||5.9|0.3|6.4|6.1|6.0|||15.0|1.2|68.4|9.5|1.0|2.5|0.6|19.4
Week 37 2014|2402.0|2406.0|||11089.0|||871.0|1153.0|||5142.0|2648.0|1641.0|2759.0||1234.0|23776.0|1394.0||85354.0|2716.0|50710.0|53426.0|138780.0|||201.0|2155.0|4966.0|3951.0|3232.0|3948.0|8966.0|1420.0
Week 37 2013|2189.0|1982.0|||10384.0|||778.0|1109.0|||4472.0|2648.0|1696.0|3116.0||1391.0|22693.0|1463.0||79241.0|2640.0|49413.0|52053.0|131294.0|||222.0|2244.0|2610.0|3061.0|3196.0|3915.0|8844.0|1228.0
Week 37 pct-change|9.7|21.4|||6.8|||12.0|4.0|||15.0|0.0|3.2|11.5||11.3|4.8|4.7||7.7|2.9|2.6|2.6|5.7|||9.5|4.0|90.3|29.1|1.1|0.8|1.4|15.6
Week 37 2014 QTD|30961.0|23585.0|||124022.0|||7748.0|13424.0|||53434.0|28572.0|16868.0|28009.0||15458.0|241889.0|13575.0||898433.0|26915.0|551748.0|578663.0|1477096.0|||2648.0|23969.0|46972.0|40071.0|36452.0|43884.0|90460.0|16432.0
Week 37 2013 QTD|24989.0|22009.0|||116374.0|||7564.0|12019.0|||45524.0|27775.0|17862.0|29666.0||12019.0|228884.0|14841.0||824213.0|28287.0|519554.0|547841.0|1372054.0|||2829.0|24590.0|25824.0|35270.0|37342.0|42459.0|83006.0|13367.0
Week 37 QTD pct-change|23.9|7.2|||6.6|||2.4|11.7|||17.4|2.9|5.6|5.6||28.6|5.7|8.5||9.0|4.9|6.2|5.6|7.7|||6.4|2.5|81.9|13.6|2.4|3.4|9.0|22.9
Week 37 2014 YTD|118264.0|81273.0|||416363.0|||25732.0|43828.0|||152758.0|88860.0|62029.0|82734.0||40987.0|820613.0|42585.0||2962504.0|95066.0|1818680.0|1913746.0|4876250.0|||10172.0|82298.0|146666.0|128809.0|121391.0|144930.0|303357.0|48855.0
Week 37 2013 YTD|98987.0|75372.0|||403322.0|||25224.0|41461.0|||143890.0|86686.0|60521.0|83587.0||35981.0|788429.0|50268.0||2798516.0|95387.0|1706687.0|1802074.0|4600590.0|||11977.0|83303.0|86726.0|118001.0|120170.0|141542.0|301949.0|41120.0
Week 37 YTD pct-change|19.5|7.8|||3.2|||2.0|5.7|||6.2|2.5|2.5|1.0||13.9|4.1|15.3||5.9|0.3|6.6|6.2|6.0|||15.1|1.2|69.1|9.2|1.0|2.4|0.5|18.8
Week 36 2014|1722.0|1971.0|||10537.0|||671.0|1287.0|||4401.0|2527.0|1150.0|2354.0||1149.0|21401.0|1375.0||77818.0|2293.0|46348.0|48641.0|126459.0|||217.0|2040.0|4346.0|3517.0|3438.0|4131.0|7826.0|1758.0
Week 36 2013|1963.0|2148.0|||10415.0|||707.0|1033.0|||3938.0|2461.0|1082.0|2492.0||978.0|21679.0|1417.0||74356.0|2277.0|43912.0|46189.0|120545.0|||243.0|2146.0|2447.0|2893.0|3485.0|3931.0|7701.0|1197.0
Week 36 pct-change|12.3|8.2|||1.2|||5.1|24.6|||11.8|2.7|6.3|5.5||17.5|1.3|3.0||4.7|0.7|5.5|5.3|4.9|||10.7|4.9|77.6|21.6|1.3|5.1|1.6|46.9
Week 36 2014 QTD|28559.0|21179.0|||112933.0|||6877.0|12271.0|||48292.0|25924.0|15227.0|25250.0||14224.0|218113.0|12181.0||813079.0|24199.0|501038.0|525237.0|1338316.0|||2447.0|21814.0|42006.0|36120.0|33220.0|39936.0|81494.0|15012.0
Week 36 2013 QTD|22800.0|20027.0|||105990.0|||6786.0|10910.0|||41052.0|25127.0|16166.0|26550.0||10628.0|206191.0|13378.0||744972.0|25647.0|470141.0|495788.0|1240760.0|||2607.0|22346.0|23214.0|32209.0|34146.0|38544.0|74162.0|12139.0
Week 36 QTD pct-change|25.3|5.8|||6.6|||1.3|12.5|||17.6|3.2|5.8|4.9||33.8|5.8|8.9||9.1|5.6|6.6|5.9|7.9|||6.1|2.4|81.0|12.1|2.7|3.6|9.9|23.7
Week 36 2014 YTD|115862.0|78867.0|||405274.0|||24861.0|42675.0|||147616.0|86212.0|60388.0|79975.0||39753.0|796837.0|41191.0||2877150.0|92350.0|1767970.0|1860320.0|4737470.0|||9971.0|80143.0|141700.0|124858.0|118159.0|140982.0|294391.0|47435.0
Week 36 2013 YTD|96798.0|73390.0|||392938.0|||24446.0|40352.0|||139418.0|84038.0|58825.0|80471.0||34590.0|765736.0|48805.0||2719275.0|92747.0|1657274.0|1750021.0|4469296.0|||11755.0|81059.0|84116.0|114940.0|116974.0|137627.0|293105.0|39892.0
Week 36 YTD pct-change|19.7|7.5|||3.1|||1.7|5.8|||5.9|2.6|2.7|0.6||14.9|4.1|15.6||5.8|0.4|6.7|6.3|6.0|||15.2|1.1|68.5|8.6|1.0|2.4|0.4|18.9
Week 35 2014|3247.0|2216.0|||12080.0|||614.0|1424.0|||5135.0|2581.0|1866.0|2805.0||1569.0|22059.0|1295.0||85371.0|2449.0|52046.0|54495.0|139866.0|||194.0|2249.0|4445.0|3923.0|3437.0|4278.0|8199.0|1755.0
Week 35 2013|1898.0|1808.0|||11605.0|||735.0|1202.0|||4231.0|2662.0|1849.0|2458.0||1545.0|23958.0|1181.0||81404.0|2704.0|49128.0|51832.0|133236.0|||228.0|2277.0|2267.0|3389.0|3612.0|3947.0|9063.0|1489.0
Week 35 pct-change|71.1|22.6|||4.1|||16.5|18.5|||21.4|3.0|0.9|14.1||1.6|7.9|9.7||4.9|9.4|5.9|5.1|5.0|||14.9|1.2|96.1|15.8|4.8|8.4|9.5|17.9
Week 35 2014 QTD|26837.0|19208.0|||102396.0|||6206.0|10984.0|||43891.0|23397.0|14077.0|22896.0||13075.0|196712.0|10806.0||735261.0|21906.0|454690.0|476596.0|1211857.0|||2230.0|19774.0|37660.0|32603.0|29782.0|35805.0|73668.0|13254.0
Week 35 2013 QTD|20837.0|17879.0|||95575.0|||6079.0|9877.0|||37114.0|22666.0|15084.0|24058.0||9650.0|184512.0|11961.0||670616.0|23370.0|426229.0|449599.0|1120215.0|||2364.0|20200.0|20767.0|29316.0|30661.0|34613.0|66461.0|10942.0
Week 35 QTD pct-change|28.8|7.4|||7.1|||2.1|11.2|||18.3|3.2|6.7|4.8||35.5|6.6|9.7||9.6|6.3|6.7|6.0|8.2|||5.7|2.1|81.3|11.2|2.9|3.4|10.8|21.1
Week 35 2014 YTD|114140.0|76896.0|||394737.0|||24190.0|41388.0|||143215.0|83685.0|59238.0|77621.0||38604.0|775436.0|39816.0||2799332.0|90057.0|1721622.0|1811679.0|4611011.0|||9754.0|78103.0|137354.0|121341.0|114721.0|136851.0|286565.0|45677.0
Week 35 2013 YTD|94835.0|71242.0|||382523.0|||23739.0|39319.0|||135480.0|81577.0|57743.0|77979.0||33612.0|744057.0|47388.0||2644919.0|90470.0|1613362.0|1703832.0|4348751.0|||11512.0|78913.0|81669.0|112047.0|113489.0|133696.0|285404.0|38695.0
Week 35 YTD pct-change|20.4|7.9|||3.2|||1.9|5.3|||5.7|2.6|2.6|0.5||14.9|4.2|16.0||5.8|0.5|6.7|6.3|6.0|||15.3|1.0|68.2|8.3|1.1|2.4|0.4|18.0
Week 34 2014|2457.0|1908.0|||10501.0|||528.0|1192.0|||4941.0|2572.0|1611.0|2460.0||1331.0|22103.0|1353.0||81006.0|2446.0|50204.0|52650.0|133656.0|||185.0|2061.0|4418.0|3694.0|3394.0|4297.0|8314.0|1686.0
Week 34 2013|1858.0|1889.0|||10427.0|||601.0|1082.0|||4530.0|2508.0|1896.0|3288.0||1055.0|21076.0|1439.0||77229.0|2579.0|48493.0|51072.0|128301.0|||209.0|2379.0|2406.0|3401.0|3425.0|3852.0|8596.0|1312.0
Week 34 pct-change|32.2|1.0|||0.7|||12.1|10.2|||9.1|2.6|15.0|25.2||26.2|4.9|6.0||4.9|5.2|3.5|3.1|4.2|||11.5|13.4|83.6|8.6|0.9|11.6|3.3|28.5
Week 34 2014 QTD|23590.0|16992.0|||90316.0|||5592.0|9560.0|||38756.0|20816.0|12211.0|20091.0||11506.0|174653.0|9511.0||649890.0|19457.0|402644.0|422101.0|1071991.0|||2036.0|17525.0|33215.0|28680.0|26345.0|31527.0|65469.0|11499.0
Week 34 2013 QTD|18939.0|16071.0|||83970.0|||5344.0|8675.0|||32883.0|20004.0|13235.0|21600.0||8105.0|160554.0|10780.0||589212.0|20666.0|377101.0|397767.0|986979.0|||2136.0|17923.0|18500.0|25927.0|27049.0|30666.0|57398.0|9453.0
Week 34 QTD pct-change|24.6|5.7|||7.6|||4.6|10.2|||17.9|4.1|7.7|7.0||42.0|8.8|11.8||10.3|5.9|6.8|6.1|8.6|||4.7|2.2|79.5|10.6|2.6|2.8|14.1|21.6
Week 34 2014 YTD|110893.0|74680.0|||382657.0|||23576.0|39964.0|||138080.0|81104.0|57372.0|74816.0||37035.0|753377.0|38521.0||2713961.0|87608.0|1669576.0|1757184.0|4471145.0|||9560.0|75854.0|132909.0|117418.0|111284.0|132573.0|278366.0|43922.0
Week 34 2013 YTD|92937.0|69434.0|||370918.0|||23004.0|38117.0|||131249.0|78915.0|55894.0|75521.0||32067.0|720099.0|46207.0||2563515.0|87766.0|1564234.0|1652000.0|4215515.0|||11284.0|76636.0|79402.0|108658.0|109877.0|129749.0|276341.0|37206.0
Week 34 YTD pct-change|19.3|7.6|||3.2|||2.5|4.8|||5.2|2.8|2.6|0.9||15.5|4.6|16.6||5.9|0.2|6.7|6.4|6.1|||15.3|1.0|67.4|8.1|1.3|2.2|0.7|18.1
Week 33 2014|2479.0|2161.0|||11369.0|||750.0|1152.0|||4780.0|2626.0|1592.0|2899.0||1598.0|21914.0|1393.0||82512.0|2475.0|51687.0|54162.0|136674.0|||235.0|2174.0|3672.0|3709.0|3140.0|4216.0|8984.0|1669.0
Week 33 2013|2136.0|2134.0|||10194.0|||678.0|1132.0|||4310.0|2475.0|1809.0|2679.0||767.0|24949.0|1333.0||78684.0|2575.0|47847.0|50422.0|129106.0|||236.0|2264.0|2212.0|3218.0|3210.0|3580.0|8373.0|995.0
Week 33 pct-change|16.1|1.3|||11.5|||10.6|1.8|||10.9|6.1|12.0|8.2||108.3|12.2|4.5||4.9|3.9|8.0|7.4|5.9|||0.4|4.0|66.0|15.3|2.2|17.8|7.3|67.7
Week 33 2014 QTD|21133.0|15084.0|||79815.0|||5064.0|8368.0|||33815.0|18244.0|10600.0|17631.0||10175.0|152550.0|8158.0||568884.0|17011.0|352440.0|369451.0|938335.0|||1851.0|15464.0|28797.0|24986.0|22951.0|27230.0|57155.0|9813.0
Week 33 2013 QTD|17081.0|14182.0|||73543.0|||4743.0|7593.0|||28353.0|17496.0|11339.0|18312.0||7050.0|139478.0|9341.0||511983.0|18087.0|328608.0|346695.0|858678.0|||1927.0|15544.0|16094.0|22526.0|23624.0|26814.0|48802.0|8141.0
Week 33 QTD pct-change|23.7|6.4|||8.5|||6.8|10.2|||19.3|4.3|6.5|3.7||44.3|9.4|12.7||11.1|5.9|7.3|6.6|9.3|||3.9|0.5|78.9|10.9|2.8|1.6|17.1|20.5
