|Grain|Grain Mill Products|Farm Products (excl. Grain)|Food Products|Chemicals|Petroleum & Petroleum Products|Primary Metal Products|Primary Forest Products|Lumber & Wood Products|Pulp & Paper Products|Non-Metallic Minerals (incl. Phosphates)|Crushed Stone, Sand & Gravel|Stone, Clay & Glass Products|Iron & Steel Scrap|Waste & Nonferrous Scrap|Motor Vehicles and Parts|Metallic Ores|Coal|Coke|All Other Carloads|Total Carloads|Trailers|Containers|Total Intermodal|Total Traffic|Non‐Metallic Minerals (incl. Phosphates)|Primary Forest Products*|Farm Products, Ex. Grain|Food & Kindred Products|Petroleum Products|Metals & Products|Pulp, Paper & Allied Products|Phosphate (Phospate Rock)|Automotive (Motor Vehicles & Equip.)|Military, Machinery & Transportation Equipment
Week 16 2017 QTD|8495.0|6172.0|640.0|6540.0|32812.0|8944.0|8124.0|1572.0|3846.0|8036.0|10803.0|15500.0|7327.0|4004.0|8443.0|26283.0|1921.0|42555.0|2836.0|4518.0|209371.0|5706.0|155171.0|160877.0|370248.0||||||||||
Week 16 QTD pct-change|4.7|4.6|2.7|0.6|7.0|11.6|2.5|27.6|0.8|8.0|22.9|4.0|5.1|1.0|10.1|12.2|14.2|11.1|2.3|9.7|0.7|8.0|2.1|2.3|1.4||||||||||
Week 16 2018 YTD|43934.0|31691.0|3756.0|33773.0|158965.0|46350.0|43357.0|7776.0|18317.0|45328.0|44748.0|68012.0|34831.0|19730.0|38163.0|141897.0|10416.0|240259.0|15485.0|20134.0|1066922.0|34061.0|821248.0|855309.0|1922231.0||||||||||
Week 16 2017 YTD|48105.0|33423.0|3621.0|33643.0|174107.0|48752.0|43997.0|8427.0|18504.0|44429.0|57549.0|70539.0|35446.0|22470.0|43361.0|145859.0|12050.0|235071.0|17511.0|21923.0|1118773.0|31661.0|817057.0|848718.0|1967491.0||||||||||
Week 16 YTD pct-change|8.7|5.2|3.7|0.4|8.7|4.9|1.5|7.7|1.0|2.0|22.2|3.6|1.7|12.2|12.0|2.7|13.6|2.2|11.6|8.2|4.6|7.6|0.5|0.8|2.3||||||||||
Week 15 2018|2830.0|2077.0|173.0|2135.0|10009.0|2697.0|2638.0|361.0|1305.0|2775.0|3174.0|5403.0|2358.0|1417.0|2647.0|10835.0|676.0|14836.0|915.0|1323.0|70584.0|2118.0|52930.0|55048.0|125632.0||||||||||
Week 15 2017|2488.0|2154.0|225.0|2277.0|10890.0|3063.0|2645.0|525.0|1309.0|2680.0|3699.0|4692.0|2415.0|1454.0|2951.0|8177.0|806.0|14665.0|1063.0|1489.0|69667.0|1897.0|51847.0|53744.0|123411.0||||||||||
Week 15 pct-change|13.7|3.6|23.1|6.2|8.1|11.9|0.3|31.2|0.3|3.5|14.2|15.2|2.4|2.5|10.3|32.5|16.1|1.2|13.9|11.1|1.3|11.6|2.1|2.4|1.8||||||||||
Week 15 2018 QTD|5532.0|4071.0|410.0|4303.0|20051.0|5254.0|5120.0|789.0|2515.0|5771.0|5753.0|10518.0|4528.0|2617.0|4970.0|20546.0|1520.0|31734.0|1892.0|2531.0|140425.0|4151.0|104306.0|108457.0|248882.0||||||||||
Week 15 2017 QTD|5622.0|4190.0|432.0|4702.0|21823.0|6018.0|5413.0|989.0|2587.0|5361.0|7285.0|9936.0|4855.0|2568.0|5683.0|17865.0|1115.0|28563.0|1968.0|3025.0|140000.0|3859.0|103752.0|107611.0|247611.0||||||||||
Week 15 QTD pct-change|1.6|2.8|5.1|8.5|8.1|12.7|5.4|20.2|2.8|7.6|21.0|5.9|6.7|1.9|12.5|15.0|36.3|11.1|3.9|16.3|0.3|7.6|0.5|0.8|0.5||||||||||
Week 15 2018 YTD|40568.0|29873.0|3543.0|31499.0|148496.0|43695.0|40558.0|7427.0|17016.0|42418.0|42176.0|62413.0|32409.0|18302.0|35543.0|132957.0|9742.0|224714.0|14475.0|18587.0|996411.0|32051.0|767114.0|799165.0|1795576.0||||||||||
Week 15 2017 YTD|45232.0|31441.0|3413.0|31805.0|163118.0|45826.0|41286.0|7844.0|17245.0|41754.0|54031.0|64975.0|32974.0|21034.0|40601.0|137441.0|11244.0|221079.0|16643.0|20430.0|1049402.0|29814.0|765638.0|795452.0|1844854.0||||||||||
Week 15 YTD pct-change|10.3|5.0|3.8|1.0|9.0|4.7|1.8|5.3|1.3|1.6|21.9|3.9|1.7|13.0|12.5|3.3|13.4|1.6|13.0|9.0|5.0|7.5|0.2|0.5|2.7||||||||||
Week 14 2018|2702.0|1994.0|237.0|2168.0|10042.0|2557.0|2482.0|428.0|1210.0|2996.0|2579.0|5115.0|2170.0|1200.0|2323.0|9711.0|844.0|16898.0|977.0|1208.0|69841.0|2033.0|51376.0|53409.0|123250.0||||||||||
Week 14 2017|3134.0|2036.0|207.0|2425.0|10933.0|2955.0|2768.0|464.0|1278.0|2681.0|3586.0|5244.0|2440.0|1114.0|2732.0|9688.0|309.0|13898.0|905.0|1536.0|70333.0|1962.0|51905.0|53867.0|124200.0||||||||||
Week 14 pct-change|13.8|2.1|14.5|10.6|8.1|13.5|10.3|7.8|5.3|11.7|28.1|2.5|11.1|7.7|15.0|0.2|173.1|21.6|8.0|21.4|0.7|3.6|1.0|0.9|0.8||||||||||
Week 14 2018 QTD|2702.0|1994.0|237.0|2168.0|10042.0|2557.0|2482.0|428.0|1210.0|2996.0|2579.0|5115.0|2170.0|1200.0|2323.0|9711.0|844.0|16898.0|977.0|1208.0|69841.0|2033.0|51376.0|53409.0|123250.0||||||||||
Week 14 2017 QTD|3134.0|2036.0|207.0|2425.0|10933.0|2955.0|2768.0|464.0|1278.0|2681.0|3586.0|5244.0|2440.0|1114.0|2732.0|9688.0|309.0|13898.0|905.0|1536.0|70333.0|1962.0|51905.0|53867.0|124200.0||||||||||
